Year,Grid,Location,Treatment,Week,Date,Date,Day 1,Day 2,Spp,Tag #,Status,Ear,Fate,Sex,Age,Wt. ,testes,vaginal,nipples,Lac,Pg,RE,LE,HD,RE,LE,HD,Botfly,NOTES:
2014,Green Control,G,C,1194,May 29-30,2014/05/29,,H2,TS,H2390,P,2,1,2,,90,,,2,1,,0,0,0,1,0,8,,right ear ripped
2014,Green Control,G,C,1194,May 29-30,2014/05/29,,H4,PL,H4561,RT,2,1,1,1,23,2,,,,,1,2,1,0,1,0,,"right ear ripped, left ear ripped"
2014,Green Control,G,C,1194,May 29-30,2014/05/29,,D9,TS,H4562,N,1,2,1,,48,1,,,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,,D9,TS,H4563,N,1,2,1,,46,1,,,,,0,0,0,0,1,0,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,,A7,PL,H4564,N,1,2,1,2,15,1,,,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,J2,K2,PL,H4675,N,1,2,2,3,15,,1,1,,,2,1,1,0,0,0,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,J7,K7,PL,H4588,P,1,1,1,3,15,2,,,,,0,1,2,0,0,3,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,J11,J10,TS,H4358,P,1,1,2,,91,,,,,,0,0,9,0,0,2,,"escape, no reproductive info"
2014,Green Control,G,C,1194,May 29-30,2014/05/29,F8,G10,PL,H4674,N,1,2,1,2,17,2,,,,,1,2,0,0,0,2,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,F3,,PL,,,,,,1,,,,,,,,,,,,,,"escape, right ear ripped"
2014,Green Control,G,C,1194,May 29-30,2014/05/29,B5,B7,PL,H4673,RT,2,1,1,1,23,2,,,,,1,0,2,0,0,2,,right ear ripped
2014,Green Control,G,C,1194,May 29-30,2014/05/29,B6,,TS,H4672,N,1,2,1,,59,1,,,,,0,1,0,0,0,3,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,H8,J7,TS,H4066,P,1,1,1,,89,2,,,,,0,0,1,1,0,1,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,H10,I10,TS,H4525,N,1,2,2,,49,,,1,,,2,2,4,0,3,6,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,H11,,BB,,A,,2,,,,,,,,,,,,,,,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,D9,F9,TS,H4062,P,2,1,2,,79,,,2,1,,0,0,0,0,0,1,,right ear ripped
2014,Green Control,G,C,1194,May 29-30,2014/05/29,D7,,TS,H4519,P,1,1,2,,88,,,2,1,,2,0,1,0,0,2,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,D5,C6,TS,H4610,P,1,1,2,,92,,,2,1,,0,0,1,0,0,0,,"right ear ripped, left ear ripped"
2014,Green Control,G,C,1194,May 29-30,2014/05/29,D2,,PL,H4618,P,1,1,2,1,23,,1,2,1,,1,4,1,1,0,0,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,,K1,TS,H4671,N,1,2,1,,76,2,,,,,0,0,1,1,1,1,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,,G11,TS,H2192,P,1,1,2,,84,,,2,1,,0,0,5,0,0,4,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,,B6,TS,H4670,N,1,2,1,,52,1,,,,,0,0,1,0,0,6,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,K1,K1,PL,H4593,P,1,1,1,1,19,2,,,,,5,2,1,0,0,1,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,K9,K9,PL,H4547,N,1,2,2,2,16,,1,1,,,5,1,3,0,0,0,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,K10,,PL,H4548,N,1,2,1,1,25,2,,,,,6,12,0,0,2,1,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,C5,,PL,H4549,N,1,2,1,3,16,1,,,,,0,1,0,0,0,1,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,C7,,TS,H4550,N,1,2,2,,52,,,1,,,0,0,0,0,0,1,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,B11,C11,TS,H4449,P,1,1,2,,70,,,1,,,0,1,0,0,0,3,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,A8,A9,TS,H2212,P,1,1,2,,72,,,2,,,0,0,0,0,0,2,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,,C7,TS,H4693,N,1,2,1,,54,1,,,,,0,0,0,0,0,1,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,,E11,TS,H4692,N,1,2,2,,91,,,2,,,0,0,0,1,2,1,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,,E10,PL,H4691,N,1,2,1,3,15,1,,,,,3,2,0,0,1,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,J2,J3,PL,H4596,RT,2,1,1,1,20,2,,,,,1,1,0,0,0,0,,right ear ripped
2014,Green Control,G,C,1196,June 12-13,2014/06/12,J3,I4,TS,H4597,N,1,2,2,,56,,,1,,,0,0,0,0,0,4,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,J7,I5,PL,H4598,RT,2,1,1,2,17,1,,,,,0,0,0,0,0,0,,right ear ripped
2014,Green Control,G,C,1196,June 12-13,2014/06/12,J11,I11,TS,H4525,P,1,1,2,,62,,,1,,,4,0,0,0,0,1,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,F10,E9,PL,H4691,P,1,1,1,2,18,2,,,,,1,3,0,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,F10,H10,PL,H4567,P,1,1,2,1,15,,1,1,,,2,2,0,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,F9,F10/B1,TS,H4599,N,1,2,1,,56,1,,,,,0,0,0,0,0,1,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,F6,G6,TS,H4600,N,1,2,2,,50,,,1,,,0,0,0,2,0,1,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,F5,G4,TS,H4643,N,1,2,2,,54,,,1,,,1,1,1,0,0,1,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,F1,I1,TS,H4644,N,1,2,2,,59,,,1,,,0,0,0,0,0,1,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,B1,,TS,H4645,N,1,2,2,,36,,,1,,,0,0,2,3,2,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,B1,,TS,H4646,N,1,2,2,,94,,,2,1,,0,0,0,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,B6,C4,TS,H4647,N,1,2,2,,66,,,1,,,0,0,0,1,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,B7,B8,TS,H4648,N,1,2,1,,57,1,,,,,0,1,0,0,0,0,,
